id1,id2,weight
0,26,1
1,26,1
2,26,1
3,27,1
4,27,1
5,28,1
6,28,1
7,29,1
8,29,1
9,30,1
10,30,1
11,31,1
12,32,1
13,33,1
14,33,1
15,34,1
16,34,1
17,34,1
18,35,1
19,36,1
20,37,1
21,38,1
22,39,1
23,40,1
24,41,1
25,41,1
0,48,1
1,48,1
2,49,1
3,49,1
4,50,1
5,51,1
6,51,1
7,52,1
8,52,1
9,53,1
10,53,1
11,54,1
12,55,1
13,56,1
14,57,1
15,58,1
16,59,1
17,60,1
18,61,1
19,62,1
20,63,1
21,63,1
22,64,1
23,64,1
24,65,1
25,65,1
0,72,1
1,72,1
2,72,1
3,73,1
4,74,1
5,75,1
6,75,1
7,76,1
8,77,1
9,78,1
10,78,1
11,79,1
12,79,1
13,80,1
14,81,1
15,81,1
16,82,1
17,82,1
18,83,1
19,83,1
20,84,1
21,84,1
22,85,1
23,86,1
24,87,1
25,87,1
0,94,1
1,94,1
2,95,1
3,96,1
4,97,1
5,98,1
6,98,1
7,99,1
8,99,1
9,100,1
10,100,1
11,101,1
12,101,1
13,102,1
14,102,1
15,103,1
16,103,1
17,103,1
18,103,1
19,104,1
20,104,1
21,105,1
22,105,1
23,106,1
24,107,1
25,107,1
0,114,1
1,114,1
2,115,1
3,115,1
4,116,1
5,117,1
6,117,1
7,118,1
8,118,1
9,119,1
10,120,1
11,121,1
12,122,1
13,122,1
14,122,1
15,123,1
16,124,1
17,125,1
18,126,1
19,126,1
20,127,1
21,127,1
22,128,1
23,128,1
24,129,1
25,129,1
0,135,1
1,135,1
2,136,1
3,136,1
4,137,1
5,138,1
6,138,1
7,139,1
8,139,1
9,140,1
10,140,1
11,141,1
12,141,1
13,142,1
14,143,1
15,144,1
16,145,1
17,146,1
18,146,1
19,147,1
20,148,1
21,149,1
22,149,1
23,150,1
24,151,1
25,151,1
0,156,1
1,156,1
2,157,1
3,158,1
4,159,1
5,160,1
6,160,1
7,161,1
8,161,1
9,162,1
10,162,1
11,162,1
12,163,1
13,163,1
14,164,1
15,165,1
16,166,1
17,166,1
18,167,1
19,167,1
20,168,1
21,169,1
22,170,1
23,170,1
24,171,1
25,171,1
0,178,1
1,178,1
2,179,1
3,179,1
4,180,1
5,181,1
6,181,1
7,182,1
8,182,1
9,183,1
10,183,1
11,184,1
12,185,1
13,186,1
14,187,1
15,188,1
16,188,1
17,189,1
18,190,1
19,190,1
20,191,1
21,192,1
22,193,1
23,193,1
24,194,1
25,194,1
0,201,1
1,201,1
2,202,1
3,202,1
4,203,1
5,203,1
6,204,1
7,205,1
8,206,1
9,206,1
10,207,1
11,208,1
12,208,1
13,209,1
14,210,1
15,211,1
16,211,1
17,212,1
18,212,1
19,213,1
20,214,1
21,214,1
22,215,1
23,216,1
24,217,1
25,217,1
0,224,1
1,224,1
2,224,1
3,225,1
4,225,1
5,226,1
6,226,1
7,227,1
8,227,1
9,228,1
10,229,1
11,230,1
12,230,1
13,230,1
14,231,1
15,231,1
16,232,1
17,233,1
18,234,1
19,234,1
20,235,1
21,236,1
22,237,1
23,237,1
24,238,1
25,238,1
0,244,1
1,244,1
2,245,1
3,245,1
4,246,1
5,247,1
6,247,1
7,248,1
8,248,1
9,249,1
10,249,1
11,250,1
12,251,1
13,252,1
14,252,1
15,253,1
16,253,1
17,253,1
18,254,1
19,255,1
20,256,1
21,257,1
22,258,1
23,258,1
24,259,1
25,259,1
0,267,1
1,267,1
2,268,1
3,268,1
4,269,1
5,269,1
6,270,1
7,270,1
8,271,1
9,272,1
10,272,1
11,273,1
12,274,1
13,275,1
14,276,1
15,277,1
16,278,1
17,279,1
18,280,1
19,280,1
20,281,1
21,281,1
22,282,1
23,283,1
24,284,1
25,284,1
0,291,1
1,291,1
2,292,1
3,292,1
4,293,1
5,293,1
6,294,1
7,295,1
8,296,1
9,297,1
10,297,1
11,297,1
12,298,1
13,298,1
14,299,1
15,300,1
16,300,1
17,301,1
18,302,1
19,302,1
20,303,1
21,304,1
22,305,1
23,305,1
24,306,1
25,306,1
0,314,1
1,314,1
2,314,1
3,315,1
4,316,1
5,317,1
6,317,1
7,318,1
8,318,1
9,319,1
10,319,1
11,319,1
12,320,1
13,320,1
14,321,1
15,322,1
16,323,1
17,323,1
18,324,1
19,324,1
20,325,1
21,326,1
22,327,1
23,327,1
24,328,1
25,328,1
0,334,1
1,334,1
2,335,1
3,335,1
4,336,1
5,336,1
6,337,1
7,338,1
8,338,1
9,339,1
10,339,1
11,339,1
12,340,1
13,340,1
14,341,1
15,342,1
16,343,1
17,344,1
18,345,1
19,345,1
20,346,1
21,347,1
22,348,1
23,348,1
24,349,1
25,349,1
0,354,1
1,354,1
2,355,1
3,355,1
4,356,1
5,356,1
6,357,1
7,357,1
8,358,1
9,359,1
10,360,1
11,360,1
12,361,1
13,362,1
14,363,1
15,363,1
16,363,1
17,364,1
18,364,1
19,364,1
20,365,1
21,366,1
22,367,1
23,367,1
24,368,1
25,368,1
0,374,1
1,374,1
2,375,1
3,375,1
4,376,1
5,376,1
6,377,1
7,378,1
8,378,1
9,379,1
10,380,1
11,380,1
12,380,1
13,381,1
14,381,1
15,382,1
16,383,1
17,384,1
18,385,1
19,385,1
20,386,1
21,387,1
22,388,1
23,388,1
24,389,1
25,389,1
0,395,1
1,395,1
2,396,1
3,396,1
4,397,1
5,397,1
6,398,1
7,399,1
8,399,1
9,400,1
10,400,1
11,401,1
12,402,1
13,402,1
14,403,1
15,404,1
16,404,1
17,405,1
18,406,1
19,406,1
20,407,1
21,407,1
22,408,1
23,409,1
24,410,1
25,410,1
0,419,1
1,419,1
2,420,1
3,421,1
4,421,1
5,422,1
6,422,1
7,423,1
8,423,1
9,424,1
10,424,1
11,425,1
12,426,1
13,427,1
14,428,1
15,429,1
16,429,1
17,430,1
18,431,1
19,431,1
20,432,1
21,433,1
22,434,1
23,434,1
24,435,1
25,435,1
0,442,1
1,442,1
2,442,1
3,443,1
4,443,1
5,444,1
6,445,1
7,446,1
8,447,1
9,448,1
10,448,1
11,449,1
12,449,1
13,450,1
14,450,1
15,451,1
16,452,1
17,453,1
18,453,1
19,454,1
20,454,1
21,455,1
22,456,1
23,457,1
24,458,1
25,458,1
0,465,1
1,465,1
2,465,1
3,466,1
4,466,1
5,467,1
6,468,1
7,468,1
8,469,1
9,469,1
10,470,1
11,471,1
12,472,1
13,472,1
14,473,1
15,473,1
16,473,1
17,474,1
18,475,1
19,475,1
20,476,1
21,477,1
22,477,1
23,478,1
24,479,1
25,479,1
0,485,1
1,485,1
2,486,1
3,486,1
4,487,1
5,487,1
6,488,1
7,489,1
8,489,1
9,490,1
10,491,1
11,491,1
12,492,1
13,493,1
14,493,1
15,494,1
16,495,1
17,495,1
18,496,1
19,497,1
20,498,1
21,498,1
22,499,1
23,500,1
24,501,1
25,501,1
0,509,1
1,509,1
2,510,1
3,510,1
4,511,1
5,511,1
6,512,1
7,513,1
8,514,1
9,514,1
10,514,1
11,515,1
12,515,1
13,515,1
14,516,1
15,517,1
16,518,1
17,519,1
18,520,1
19,520,1
20,521,1
21,522,1
22,523,1
23,523,1
24,524,1
25,524,1
0,530,1
1,530,1
2,531,1
3,531,1
4,532,1
5,532,1
6,533,1
7,533,1
8,534,1
9,535,1
10,535,1
11,536,1
12,536,1
13,536,1
14,537,1
15,538,1
16,539,1
17,540,1
18,540,1
19,541,1
20,542,1
21,542,1
22,543,1
23,544,1
24,545,1
25,545,1
0,551,1
1,551,1
2,552,1
3,552,1
4,553,1
5,553,1
6,554,1
7,554,1
8,555,1
9,556,1
10,557,1
11,557,1
12,558,1
13,559,1
14,559,1
15,560,1
16,561,1
17,562,1
18,562,1
19,563,1
20,564,1
21,564,1
22,565,1
23,566,1
24,567,1
25,567,1
0,573,1
1,573,1
2,574,1
3,575,1
4,575,1
5,576,1
6,576,1
7,577,1
8,577,1
9,578,1
10,578,1
11,578,1
12,579,1
13,579,1
14,580,1
15,581,1
16,582,1
17,583,1
18,584,1
19,584,1
20,585,1
21,586,1
22,587,1
23,587,1
24,588,1
25,588,1
0,596,1
1,596,1
2,597,1
3,597,1
4,598,1
5,598,1
6,599,1
7,599,1
8,600,1
9,601,1
10,601,1
11,601,1
12,602,1
13,602,1
14,603,1
15,604,1
16,604,1
17,605,1
18,606,1
19,606,1
20,607,1
21,608,1
22,609,1
23,609,1
24,610,1
25,610,1
0,619,1
1,619,1
2,620,1
3,620,1
4,621,1
5,622,1
6,622,1
7,623,1
8,623,1
9,624,1
10,625,1
11,625,1
12,625,1
13,626,1
14,626,1
15,627,1
16,628,1
17,629,1
18,630,1
19,630,1
20,631,1
21,632,1
22,633,1
23,633,1
24,634,1
25,634,1
0,642,1
1,642,1
2,642,1
3,643,1
4,644,1
5,645,1
6,645,1
7,646,1
8,647,1
9,648,1
10,648,1
11,649,1
12,649,1
13,650,1
14,650,1
15,651,1
16,651,1
17,652,1
18,653,1
19,653,1
20,654,1
21,654,1
22,655,1
23,655,1
24,656,1
25,656,1
0,665,1
1,665,1
2,665,1
3,666,1
4,667,1
5,668,1
6,669,1
